quarter,cc,index
197001,AUT,21.1
197001,CAN,17.2
197001,CHE,32.7
197001,DEU,30.0268
197001,DNK,13.8
197001,FIN,12.1
197001,FRA,15
197001,GBR,8.9
197001,GRC,1.41758
197001,ISR,0
197001,ITA,5.4
197001,JPN,31
197001,LUX,19.7
197001,NLD,21
197001,PRT,1.5
197001,SWE,14.1083
197001,USA,16.3
197002,AUT,21.2
197002,CAN,17.2
197002,CHE,32.7
197002,DEU,30.0751
197002,DNK,13.9
197002,FIN,12.1
197002,FRA,15.1
197002,GBR,9
197002,GRC,1.41758
197002,ISR,0
197002,ITA,5.5
197002,JPN,30.9
197002,LUX,19.8
197002,NLD,21.2
197002,PRT,1.5
197002,SWE,14.3124
197002,USA,16.4
197003,AUT,21.3
197003,CAN,17.2
197003,CHE,32.8
197003,DEU,30.213
197003,DNK,14
197003,FIN,12.1
197003,FRA,15.1
197003,GBR,9
197003,GRC,1.44302
197003,ISR,0
197003,ITA,5.5
197003,JPN,31.1
197003,LUX,19.9
197003,NLD,21.4
197003,PRT,1.5
197003,SWE,14.3952
197003,USA,16.6
197004,AUT,21.4
197004,CAN,17.2
197004,CHE,32.9
197004,DEU,30.3854
197004,DNK,14
197004,FIN,12.2
197004,FRA,15.2
197004,GBR,9.2
197004,GRC,1.46538
197004,ISR,0
197004,ITA,5.5
197004,JPN,31.5
197004,LUX,19.9
197004,NLD,21.5
197004,PRT,1.5
197004,SWE,14.4199
197004,USA,16.6
197005,AUT,21.5
197005,CAN,17.3
197005,CHE,33.2
197005,DEU,30.3784
197005,DNK,14.2
197005,FIN,12.2
197005,FRA,15.2
197005,GBR,9.2
197005,GRC,1.45441
197005,ISR,0
197005,ITA,5.5
197005,JPN,31.6
197005,LUX,20.1
197005,NLD,21.5
197005,PRT,1.5
197005,SWE,14.467
197005,USA,16.7
197006,AUT,21.5
197006,CAN,17.3
197006,CHE,33.3
197006,DEU,30.4284
197006,DNK,14.2
197006,FIN,12.2
197006,FRA,15.3
197006,GBR,9.2
197006,GRC,1.44653
197006,ISR,0
197006,ITA,5.5
197006,JPN,31.7
197006,LUX,20.1
197006,NLD,21.6
197006,PRT,1.6
197006,SWE,14.5174
197006,USA,16.8
197007,AUT,21.5
197007,CAN,17.4
197007,CHE,33.4
197007,DEU,30.4475
197007,DNK,14.4
197007,FIN,12.2
197007,FRA,15.3
197007,GBR,9.3
197007,GRC,1.43686
197007,ISR,0
197007,ITA,5.5
197007,JPN,31.7
197007,LUX,20.2
197007,NLD,21.6
197007,PRT,1.6
197007,SWE,14.5983
197007,USA,16.9
197008,AUT,21.7
197008,CAN,17.4
197008,CHE,33.4
197008,DEU,30.4355
197008,DNK,14.5
197008,FIN,12.2
197008,FRA,15.4
197008,GBR,9.3
197008,GRC,1.4145
197008,ISR,0
197008,ITA,5.5
197008,JPN,31.7
197008,LUX,20.2
197008,NLD,21.8
197008,PRT,1.6
197008,SWE,14.6588
197008,USA,16.9
197009,AUT,21.8
197009,CAN,17.4
197009,CHE,33.6
197009,DEU,30.4874
197009,DNK,14.6
197009,FIN,12.2
197009,FRA,15.4
197009,GBR,9.4
197009,GRC,1.44302
197009,ISR,0
197009,ITA,5.6
197009,JPN,32.1
197009,LUX,20.3
197009,NLD,22
197009,PRT,1.6
197009,SWE,14.7002
197009,USA,17
197010,AUT,21.9
197010,CAN,17.4
197010,CHE,33.7
197010,DEU,30.6306
197010,DNK,14.6
197010,FIN,12.3
197010,FRA,15.5
197010,GBR,9.5
197010,GRC,1.46538
197010,ISR,0
197010,ITA,5.6
197010,JPN,32.5
197010,LUX,20.3
197010,NLD,22.1
197010,PRT,1.6
197010,SWE,14.7876
197010,USA,17.2
197011,AUT,21.9
197011,CAN,17.5
197011,CHE,34.1
197011,DEU,30.7479
197011,DNK,14.7
197011,FIN,12.3
197011,FRA,15.6
197011,GBR,9.5
197011,GRC,1.47018
197011,ISR,0
197011,ITA,5.7
197011,JPN,32.6
197011,LUX,20.4
197011,NLD,22.2
197011,PRT,1.6
197011,SWE,14.8602
197011,USA,17.3
197012,AUT,22
197012,CAN,17.4
197012,CHE,34.3
197012,DEU,30.9669
197012,DNK,14.7
197012,FIN,12.3
197012,FRA,15.6
197012,GBR,9.6
197012,GRC,1.47985
197012,ISR,0
197012,ITA,5.7
197012,JPN,32.8
197012,LUX,20.4
197012,NLD,22.2
197012,PRT,1.6
197012,SWE,14.9825
197012,USA,17.4
197101,AUT,22.1
197101,CAN,17.5
197101,CHE,34.4
197101,DEU,31.2911
197101,DNK,14.7
197101,FIN,12.4
197101,FRA,15.7
197101,GBR,9.7
197101,GRC,1.48443
197101,ISR,0
197101,ITA,5.7
197101,JPN,33
197101,LUX,20.6
197101,NLD,22.5
197101,PRT,1.7
197101,SWE,15.4001
197101,USA,17.4
197102,AUT,22.2
197102,CAN,17.5
197102,CHE,34.5
197102,DEU,31.5428
197102,DNK,14.7
197102,FIN,12.5
197102,FRA,15.8
197102,GBR,9.8
197102,GRC,1.45125
197102,ISR,0
197102,ITA,5.8
197102,JPN,33
