quarter,cc,index
200901,ABW,93.89746461
200901,AFG,106.3760623
200901,AGO,82.53184201
200901,ALB,95.80788432
200901,ARE,99.74432614
200901,ARG,104.26
200901,ARM,90.72712877
200901,ATG,71.572
200901,AUT,88
200901,AZE,95.5
200901,BDI,93.79062331
200901,BEL,90.2
200901,BEN,98.42455741
200901,BFA,100.1847573
200901,BGD,88.4142881
200901,BGR,97.91259857
200901,BHR,97.91380775
200901,BHS,97.93039505
200901,BIH,98.64437742
200901,BLR,90.14656013
200901,BOL,98.09670598
200901,BRA,67.4
200901,BRB,92.5498426
200901,BRN,99.44357539
200901,BWA,90.46407323
200901,CAF,100.1801581
200901,CAN,89.3
200901,CHE,100.5
200901,CHL,84.4
200901,CHN,97.35192162
200901,CIV,99.63531699
200901,CMR,98.41233051
200901,COD,107.6868183
200901,COG,101.989872
200901,COL,82.1
200901,COM,93.86108599
200901,CPV,98.28917487
200901,CRI,93.16956079
200901,CUW,96.74174503
200901,CYP,95.48042205
200901,CZE,91.9
200901,DEU,91.7061
200901,DJI,95.67548665
200901,DMA,95.65493563
200901,DNK,89.8
200901,DOM,91.67781253
200901,DZA,93.21001248
200901,ECU,94.67016322
200901,EGY,83.658477
200901,ESP,91.3
200901,EST,88
200901,ETH,89.09788492
200901,FIN,91
200901,FJI,94.45294568
200901,FRA,92.6
200901,GAB,97.73283683
200901,GBR,86.6
200901,GEO,93.944
200901,GHA,85.95814103
200901,GIN,83.27670353
200901,GMB,94.39082365
200901,GNB,99.29315929
200901,GNQ,89.75934042
200901,GRC,93.5
200901,GRD,98.42935307
200901,GTM,96.55818144
200901,GUY,97.42284296
200901,HKG,98.13020951
200901,HND,93.81669568
200901,HRV,98.03149606
200901,HTI,95.84955173
200901,HUN,82.8
200901,IDN,71.1
200901,IND,56.6
200901,IRL,98.3
200901,IRN,87.66692852
200901,IRQ,95.41357901
200901,ISL,78.2
200901,ISR,88.9
200901,ITA,91
200901,JAM,84.65809072
200901,JOR,94.59321981
200901,JPN,97.6
200901,KAZ,43.5
200901,KEN,93.16339515
200901,KGZ,93.31753912
200901,KHM,91.94243866
200901,KIR,104.0612477
200901,KNA,98.78077349
200901,KOR,86.9167
200901,KWT,95.30975075
200901,LAO,92.54827485
200901,LBN,94.46968172
200901,LBR,87.21736997
200901,LBY,97.05241652
200901,LCA,97.56897884
200901,LKA,92.3673086
200901,LSO,94.55460761
200901,LTU,92.2
200901,LUX,87.7
200901,LVA,94.7
200901,MAC,97.85346983
200901,MAR,98.87018677
200901,MDA,94.39077246
200901,MDG,89.10429668
200901,MDV,92.64654385
200901,MEX,79.2
200901,MKD,99.37591191
200901,MLI,96.33104897
200901,MLT,97.08325303
200901,MMR,91.04453649
200901,MNE,97.97260274
200901,MNG,88.90694839
200901,MOZ,90.28707236
200901,MRT,92.63195463
200901,MSR,105.4
200901,MUS,95.90351424
200901,MWI,95.29202394
200901,MYS,98.06651777
200901,NAM,92.09734229
200901,NCL,90.75
200901,NER,98.60568913
200901,NGA,82.80927244
200901,NIC,94.65547851
200901,NLD,89.3
200901,NOR,88.7
200901,NPL,85.53603651
200901,OMN,97.05799133
200901,PAK,84.50714446
200901,PAN,95.19192978
200901,PER,98.46431649
200901,PHL,94.72810295
200901,POL,87.9935
200901,PRT,91.7
200901,PRI,104.876
200901,PRY,95.32668882
200901,PSE,94.2416031
200901,QAT,104.8016633
200901,ROU,92.56333632
200901,RUS,89.7129885
200901,RWA,95.08883348
200901,SAU,93.46398458
200901,SDN,82.10789577
200901,SEN,99.5475234
200901,SGP,97.82495533
200901,SLB,97.92466162
200901,SLE,91.3855693
200901,SLV,98.57227644
200901,SRB,91.28298453
200901,SSD,101.6749272
200901,STP,82.38901852
200901,SUR,93.68963688
200901,SVK,91.1547
200901,SVN,91.1
200901,SWE,95.1
200901,SWZ,93.96795109
200901,SYC,103.5217432
200901,SYR,95.79780924
200901,TCD,102.8973563
200901,TGO,97.44470162
200901,THA,94.566656
200901,TJK,90.49
200901,TLS,93.81190755
200901,TON,95.44036809
200901,TTO,89.33573541
200901,TUN,95.2257482
200901,TUR,61.7457
200901,TWN,89.04
200901,TZA,91.94569834
200901,UGA,91.12751927
200901,UKR,87.16707022
200901,URY,91.46184808
200901,USA,89.1
200901,VCT,101.0819321
200901,VEN,70.77790503
200901,VNM,89.15081404
200901,WSM,100.9782789
200901,XKX,97.7307777
200901,YEM,87.12942506
200901,ZAF,71.2
200901,ZMB,88.44510218
200901,ZWE,102.8620739
200902,ABW,94.61343071
200902,AFG,101.757066
200902,AGO,83.38451506
200902,ALB,96.5309627
200902,ARE,99.40809751
200902,ARG,104.71
200902,ARM,89.07975307
200902,ATG,72.574
200902,AUT,88.3
200902,AZE,94.7
200902,BDI,92.87931673
200902,BEL,90.5
200902,BEN,96.37810622
200902,BFA,100.6775847
200902,BGD,88.40562173
200902,BGR,97.96427157
200902,BHR,98.17312286
200902,BHS,97.93039505
200902,BIH,98.55422475
200902,BLR,91.25477754
200902,BLZ,93.3
200902,BOL,98.02501882
200902,BRA,67.8
200902,BRB,92.89961525
200902,BRN,99.75902651
200902,BWA,90.6832915
200902,CAF,99.06048929
200902,CAN,89.9
200902,CHE,100.7
200902,CHL,83.3
200902,CHN,97.35192162
200902,CIV,99.65128281
200902,CMR,98.55139645
200902,COD,110.4475346
200902,COG,99.64886024
200902,COL,82.7
200902,COM,95.68804439
200902,CPV,99.10673732
200902,CRI,93.58124298
200902,CUW,95.8670457
200902,CYP,95.53358487
200902,CZE,91.9
200902,DEU,92.2658
200902,DJI,95.53561021
200902,DMA,95.25765712
200902,DNK,90.9
200902,DOM,91.95795863
200902,DZA,94.6267342
200902,ECU,95.11147288
200902,EGY,84.51888855
200902,ESP,91.3
200902,EST,87.7
200902,ETH,89.86244163
200902,FIN,91
200902,FJI,94.68247896
200902,FRA,92.9
200902,GAB,97.30493475
200902,GBR,87.2
200902,GEO,92.676
200902,GHA,86.40938776
200902,GIN,83.07901402
200902,GMB,94.4849335
200902,GNB,97.92861747
200902,GNQ,89.78441662
200902,GRC,92.7
200902,GRD,97.40585774
200902,GTM,95.98049651
200902,GUY,95.00593186
200902,HKG,97.45438162
200902,HND,94.54325286
200902,HRV,98.67573372
200902,HTI,95.05961029
200902,HUN,83.6
200902,IDN,71.2
200902,IND,56.6
200902,IRL,97.9
200902,IRN,87.35271013
200902,IRQ,95.57380332
200902,ISL,78.6
200902,ISR,88.8
200902,ITA,91.2
200902,JAM,85.30805687
200902,JOR,94.43428203
200902,JPN,97.3
200902,KAZ,43.9
200902,KEN,94.10443955
200902,KGZ,93.58966202
200902,KHM,91.82730619
200902,KIR,106.0974471
200902,KNA,98.35175455
200902,KOR,87.544
200902,KWT,95.02735149
200902,LAO,92.3413219
200902,LBN,95.34735543
200902,LBR,86.59089841
200902,LBY,97.97380022
200902,LCA,97.37020619
200902,LKA,92.43776421
200902,LSO,94.78300039
200902,LTU,92.4
200902,LUX,89.2
200902,LVA,95.7
200902,MAC,96.57970468
200902,MAR,99.05464607
200902,MDA,93.35247397
200902,MDG,90.76065218
200902,MDV,91.60988654
200902,MEX,79.4
200902,MKD,99.15739955
200902,MLI,96.25531701
200902,MLT,98.04469219
200902,MMR,90.24820987
200902,MNE,98.63013699
200902,MNG,89.39455506
200902,MOZ,90.1048042
200902,MRT,92.74958251
200902,MSR,105.4
200902,MUS,96.31940112
200902,MWI,98.07474519
200902,MYS,98.24210688
200902,NAM,92.23369849
200902,NCL,90.58
200902,NER,98.60568913
200902,NGA,83.36011017
200902,NIC,95.20738761
200902,NLD,90
200902,NOR,89.4
200902,NPL,86.55497843
200902,OMN,96.83366623
200902,PAK,85.66815623
200902,PAN,95.50635399
200902,PER,98.3855214
200902,PHL,95.14321295
200902,POL,88.8075
200902,PRT,91.7
200902,PRI,105.948
200902,PRY,95.06090808
200902,PSE,94.21500152
200902,QAT,103.6887253
200902,ROU,93.37419343
200902,RUS,91.19324848
200902,RWA,96.62177005
200902,SAU,93.54154993
200902,SDN,82.39648922
200902,SEN,99.48204492
200902,SGP,97.51491565
200902,SLB,98.73619197
200902,SLE,91.54455603
200902,SLV,98.45357425
200902,SRB,92.37488626
200902,SSD,93.60542449
200902,STP,83.10125514
200902,SUR,92.71775268
200902,SVK,91.1547
200902,SVN,91.6
200902,SWE,95.1
200902,SWZ,94.00460514
200902,SYC,104.9098164
200902,SYR,94.25163326
200902,TCD,101.2865156
200902,TGO,96.92499405
200902,THA,95.50090397
200902,TJK,90.77
200902,TLS,93.81190755
200902,TON,95.26041485
200902,TTO,89.14098309
200902,TUN,95.0083635
200902,TUR,61.5346
200902,TWN,87.68
200902,TZA,93.54771421
200902,UGA,92.12909119
200902,UKR,88.41231408
200902,URY,91.225486
200902,USA,89.5
200902,VCT,100.1482194
200902,VEN,71.67650427
200902,VNM,90.19387856
200902,WSM,99.78444702
200902,XKX,97.55452743
200902,YEM,87.58351922
200902,ZAF,71.8
200902,ZMB,89.04371539
200902,ZWE,99.75550122
200903,ABW,95.22790392
200903,AFG,98.17245056
200903,AGO,84.16167846
200903,ALB,97.13352801
200903,ARE,98.56752592
200903,ARG,105.38
200903,ARM,90.27922478
200903,ATG,74.896
200903,AUT,88.5
200903,AZE,94.1
200903,BDI,92.57114851
200903,BEL,90
200903,BEN,95.59850577
200903,BFA,99.55112219
200903,BGD,88.67861233
200903,BGR,97.78386395
200903,BHR,98.18206476
200903,BHS,97.98006557
200903,BIH,98.44059836
200903,BLR,91.83486009
200903,BOL,97.53754615
200903,BRA,67.9
200903,BRB,92.5498426
200903,BRN,99.57740314
200903,BWA,91.48709183
200903,CAF,98.43689097
200903,CAN,90.1
200903,CHE,100.4
200903,CHL,83.4
200903,CHN,97.05986376
200903,CIV,98.93744566
200903,CMR,98.3659752
200903,COD,115.6178193
200903,COG,101.3932907
200903,COL,83.2
200903,COM,93.99694766
200903,CPV,98.10749432
