Kategorija: Vse kategorije

Mesec,Borza za kriptovalute: (Ves svet)
2004-01,1
2004-02,1
2004-03,2
2004-04,1
2004-05,2
2004-06,1
2004-07,2
2004-08,2
2004-09,2
2004-10,2
2004-11,0
2004-12,1
2005-01,2
2005-02,2
2005-03,1
2005-04,1
2005-05,1
2005-06,2
2005-07,2
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,1
2006-01,1
2006-02,1
2006-03,2
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,< 1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,4
2011-07,2
2011-08,2
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,2
2012-09,2
2012-10,1
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,5
2013-04,14
2013-05,5
2013-06,4
2013-07,4
2013-08,3
2013-09,3
2013-10,4
2013-11,12
2013-12,13
2014-01,9
2014-02,12
2014-03,8
2014-04,5
2014-05,4
2014-06,4
2014-07,4
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,4
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,5
2016-07,4
2016-08,4
2016-09,4
2016-10,4
2016-11,2
2016-12,1
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,14
2017-06,15
2017-07,17
2017-08,12
2017-09,9
2017-10,10
2017-11,9
2017-12,43
2018-01,52
2018-02,41
2018-03,100
2018-04,65
2018-05,11
2018-06,8
2018-07,8
2018-08,8
2018-09,10
2018-10,7
2018-11,7
2018-12,6
2019-01,6
2019-02,7
2019-03,7
2019-04,8
2019-05,9
2019-06,11
2019-07,14
2019-08,8
2019-09,7
2019-10,7
2019-11,9
2019-12,10
2020-01,12
2020-02,13
2020-03,14
2020-04,15
2020-05,18
2020-06,16
2020-07,18
2020-08,22
2020-09,19
2020-10,18
2020-11,20
2020-12,20
2021-01,35
2021-02,45
2021-03,33
2021-04,57
2021-05,68
2021-06,36
2021-07,28
2021-08,46
2021-09,49
2021-10,55
2021-11,57
2021-12,48
2022-01,49
2022-02,44
2022-03,46
2022-04,48
2022-05,35
2022-06,38
2022-07,27
2022-08,24
2022-09,33
2022-10,25
2022-11,37
2022-12,24
2023-01,25
2023-02,22
2023-03,20
2023-04,18
2023-05,17
2023-06,17
2023-07,18
2023-08,16
2023-09,15
2023-10,15
2023-11,17
2023-12,22
2024-01,22
2024-02,18
2024-03,29
