Kategorija: Vse kategorije

Mesec,Coinbase: (Ves svet)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,< 1
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,< 1
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,< 1
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,< 1
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,< 1
2012-08,< 1
2012-09,< 1
2012-10,< 1
2012-11,< 1
2012-12,< 1
2013-01,< 1
2013-02,< 1
2013-03,< 1
2013-04,1
2013-05,< 1
2013-06,< 1
2013-07,< 1
2013-08,1
2013-09,< 1
2013-10,1
2013-11,3
2013-12,3
2014-01,2
2014-02,3
2014-03,2
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,2
2016-07,2
2016-08,1
2016-09,1
2016-10,2
2016-11,2
2016-12,2
2017-01,3
2017-02,3
2017-03,4
2017-04,4
2017-05,11
2017-06,15
2017-07,9
2017-08,12
2017-09,12
2017-10,13
2017-11,23
2017-12,100
2018-01,63
2018-02,26
2018-03,17
2018-04,14
2018-05,13
2018-06,10
2018-07,9
2018-08,9
2018-09,8
2018-10,7
2018-11,8
2018-12,8
2019-01,6
2019-02,6
2019-03,6
2019-04,8
2019-05,11
2019-06,13
2019-07,10
2019-08,9
2019-09,8
2019-10,8
2019-11,7
2019-12,7
2020-01,8
2020-02,11
2020-03,11
2020-04,12
2020-05,13
2020-06,10
2020-07,11
2020-08,15
2020-09,10
2020-10,9
2020-11,17
2020-12,22
2021-01,48
2021-02,53
2021-03,38
2021-04,99
2021-05,79
2021-06,37
2021-07,25
2021-08,33
2021-09,36
2021-10,57
2021-11,64
2021-12,45
2022-01,51
2022-02,43
2022-03,34
2022-04,31
2022-05,33
2022-06,25
2022-07,21
2022-08,21
2022-09,16
2022-10,15
2022-11,19
2022-12,14
2023-01,17
2023-02,17
2023-03,17
2023-04,15
2023-05,13
2023-06,15
2023-07,16
2023-08,14
2023-09,11
2023-10,12
2023-11,15
2023-12,21
2024-01,20
2024-02,25
2024-03,40
