Kategorija: Vse kategorije

Mesec,Investicija: (Ves svet)
2004-01,92
2004-02,98
2004-03,100
2004-04,98
2004-05,90
2004-06,94
2004-07,86
2004-08,85
2004-09,87
2004-10,86
2004-11,92
2004-12,82
2005-01,88
2005-02,87
2005-03,90
2005-04,87
2005-05,87
2005-06,83
2005-07,82
2005-08,87
2005-09,81
2005-10,84
2005-11,85
2005-12,79
2006-01,85
2006-02,87
2006-03,87
2006-04,85
2006-05,85
2006-06,80
2006-07,73
2006-08,73
2006-09,75
2006-10,76
2006-11,80
2006-12,70
2007-01,80
2007-02,76
2007-03,80
2007-04,81
2007-05,81
2007-06,80
2007-07,79
2007-08,78
2007-09,77
2007-10,81
2007-11,75
2007-12,67
2008-01,76
2008-02,76
2008-03,91
2008-04,88
2008-05,88
2008-06,82
2008-07,81
2008-08,78
2008-09,82
2008-10,89
2008-11,74
2008-12,67
2009-01,63
2009-02,63
2009-03,64
2009-04,66
2009-05,61
2009-06,65
2009-07,59
2009-08,58
2009-09,62
2009-10,62
2009-11,62
2009-12,56
2010-01,64
2010-02,60
2010-03,62
2010-04,62
2010-05,62
2010-06,60
2010-07,51
2010-08,53
2010-09,56
2010-10,56
2010-11,55
2010-12,49
2011-01,54
2011-02,54
2011-03,55
2011-04,53
2011-05,51
2011-06,49
2011-07,48
2011-08,52
2011-09,48
2011-10,49
2011-11,49
2011-12,43
2012-01,45
2012-02,47
2012-03,48
2012-04,48
2012-05,49
2012-06,43
2012-07,44
2012-08,42
2012-09,44
2012-10,43
2012-11,42
2012-12,37
2013-01,44
2013-02,43
2013-03,45
2013-04,47
2013-05,44
2013-06,40
2013-07,40
2013-08,39
2013-09,41
2013-10,46
2013-11,43
2013-12,39
2014-01,47
2014-02,47
2014-03,46
2014-04,45
2014-05,43
2014-06,42
2014-07,42
2014-08,42
2014-09,45
2014-10,44
2014-11,44
2014-12,43
2015-01,45
2015-02,47
2015-03,49
2015-04,48
2015-05,47
2015-06,46
2015-07,45
2015-08,43
2015-09,45
2015-10,46
2015-11,46
2015-12,44
2016-01,45
2016-02,52
2016-03,49
2016-04,50
2016-05,47
2016-06,46
2016-07,45
2016-08,44
2016-09,45
2016-10,49
2016-11,44
2016-12,40
2017-01,46
2017-02,53
2017-03,53
2017-04,52
2017-05,51
2017-06,49
2017-07,48
2017-08,49
2017-09,48
2017-10,51
2017-11,54
2017-12,54
2018-01,60
2018-02,55
2018-03,56
2018-04,57
2018-05,57
2018-06,51
2018-07,50
2018-08,55
2018-09,58
2018-10,60
2018-11,57
2018-12,55
2019-01,61
2019-02,62
2019-03,64
2019-04,65
2019-05,66
2019-06,63
2019-07,64
2019-08,62
2019-09,63
2019-10,61
2019-11,59
2019-12,61
2020-01,65
2020-02,70
2020-03,74
2020-04,74
2020-05,73
2020-06,73
2020-07,71
2020-08,69
2020-09,69
2020-10,66
2020-11,68
2020-12,69
2021-01,80
2021-02,86
2021-03,78
2021-04,79
2021-05,83
2021-06,72
2021-07,67
2021-08,68
2021-09,72
2021-10,70
2021-11,72
2021-12,65
2022-01,73
2022-02,76
2022-03,81
2022-04,75
2022-05,69
2022-06,68
2022-07,62
2022-08,64
2022-09,67
2022-10,67
2022-11,65
2022-12,59
2023-01,70
2023-02,70
2023-03,74
2023-04,68
2023-05,74
2023-06,73
2023-07,71
2023-08,73
2023-09,72
2023-10,71
2023-11,77
2023-12,70
2024-01,80
2024-02,75
2024-03,82
