Kategorija: Vse kategorije

Mesec,Trg: (Ves svet)
2004-01,42
2004-02,45
2004-03,47
2004-04,48
2004-05,45
2004-06,42
2004-07,38
2004-08,38
2004-09,42
2004-10,46
2004-11,47
2004-12,36
2005-01,38
2005-02,43
2005-03,42
2005-04,44
2005-05,41
2005-06,38
2005-07,37
2005-08,36
2005-09,40
2005-10,40
2005-11,41
2005-12,34
2006-01,34
2006-02,37
2006-03,39
2006-04,38
2006-05,37
2006-06,35
2006-07,32
2006-08,32
2006-09,34
2006-10,38
2006-11,38
2006-12,30
2007-01,32
2007-02,36
2007-03,38
2007-04,34
2007-05,37
2007-06,35
2007-07,34
2007-08,38
2007-09,36
2007-10,40
2007-11,39
2007-12,32
2008-01,38
2008-02,38
2008-03,39
2008-04,39
2008-05,37
2008-06,33
2008-07,35
2008-08,31
2008-09,44
2008-10,52
2008-11,42
2008-12,33
2009-01,33
2009-02,36
2009-03,40
2009-04,36
2009-05,37
2009-06,33
2009-07,32
2009-08,34
2009-09,35
2009-10,37
2009-11,36
2009-12,31
2010-01,31
2010-02,33
2010-03,34
2010-04,36
2010-05,35
2010-06,32
2010-07,30
2010-08,30
2010-09,32
2010-10,33
2010-11,35
2010-12,30
2011-01,31
2011-02,32
2011-03,34
2011-04,32
2011-05,33
2011-06,32
2011-07,31
2011-08,38
2011-09,35
2011-10,36
2011-11,36
2011-12,33
2012-01,33
2012-02,34
2012-03,37
2012-04,34
2012-05,34
2012-06,32
2012-07,30
2012-08,29
2012-09,31
2012-10,33
2012-11,32
2012-12,29
2013-01,30
2013-02,31
2013-03,31
2013-04,33
2013-05,31
2013-06,30
2013-07,29
2013-08,28
2013-09,32
2013-10,35
2013-11,33
2013-12,30
2014-01,32
2014-02,30
2014-03,32
2014-04,31
2014-05,31
2014-06,30
2014-07,30
2014-08,30
2014-09,33
2014-10,35
2014-11,34
2014-12,33
2015-01,33
2015-02,34
2015-03,33
2015-04,35
2015-05,34
2015-06,34
2015-07,35
2015-08,38
2015-09,37
2015-10,34
2015-11,34
2015-12,34
2016-01,38
2016-02,38
2016-03,35
2016-04,36
2016-05,35
2016-06,36
2016-07,35
2016-08,33
2016-09,33
2016-10,33
2016-11,58
2016-12,54
2017-01,46
2017-02,48
2017-03,52
2017-04,50
2017-05,54
2017-06,47
2017-07,48
2017-08,48
2017-09,48
2017-10,50
2017-11,48
2017-12,45
2018-01,46
2018-02,60
2018-03,82
2018-04,90
2018-05,91
2018-06,79
2018-07,83
2018-08,91
2018-09,76
2018-10,75
2018-11,95
2018-12,100
2019-01,88
2019-02,88
2019-03,77
2019-04,68
2019-05,72
2019-06,87
2019-07,84
2019-08,93
2019-09,77
2019-10,75
2019-11,82
2019-12,81
2020-01,71
2020-02,75
2020-03,88
2020-04,81
2020-05,92
2020-06,89
2020-07,100
2020-08,66
2020-09,66
2020-10,60
2020-11,62
2020-12,56
2021-01,60
2021-02,57
2021-03,58
2021-04,58
2021-05,54
2021-06,55
2021-07,54
2021-08,51
2021-09,51
2021-10,56
2021-11,59
2021-12,58
2022-01,61
2022-02,66
2022-03,68
2022-04,63
2022-05,62
2022-06,62
2022-07,63
2022-08,70
2022-09,65
2022-10,63
2022-11,68
2022-12,61
2023-01,52
2023-02,62
2023-03,65
2023-04,55
2023-05,61
2023-06,57
2023-07,52
2023-08,53
2023-09,57
2023-10,61
2023-11,64
2023-12,60
2024-01,60
2024-02,62
2024-03,63
