Mesec,Kovanec: (Ves svet)
2004-01,24
2004-02,23
2004-03,21
2004-04,21
2004-05,22
2004-06,20
2004-07,21
2004-08,22
2004-09,21
2004-10,21
2004-11,21
2004-12,20
2005-01,20
2005-02,22
2005-03,21
2005-04,21
2005-05,20
2005-06,19
2005-07,19
2005-08,19
2005-09,19
2005-10,19
2005-11,19
2005-12,20
2006-01,21
2006-02,21
2006-03,21
2006-04,20
2006-05,20
2006-06,19
2006-07,18
2006-08,19
2006-09,18
2006-10,18
2006-11,19
2006-12,18
2007-01,19
2007-02,22
2007-03,21
2007-04,19
2007-05,19
2007-06,18
2007-07,19
2007-08,19
2007-09,18
2007-10,19
2007-11,20
2007-12,20
2008-01,22
2008-02,21
2008-03,21
2008-04,19
2008-05,19
2008-06,18
2008-07,18
2008-08,19
2008-09,20
2008-10,21
2008-11,22
2008-12,19
2009-01,21
2009-02,20
2009-03,20
2009-04,20
2009-05,19
2009-06,19
2009-07,20
2009-08,21
2009-09,20
2009-10,22
2009-11,21
2009-12,22
2010-01,23
2010-02,24
2010-03,22
2010-04,21
2010-05,21
2010-06,21
2010-07,22
2010-08,23
2010-09,22
2010-10,23
2010-11,23
2010-12,22
2011-01,25
2011-02,25
2011-03,25
2011-04,25
2011-05,23
2011-06,23
2011-07,25
2011-08,27
2011-09,24
2011-10,24
2011-11,25
2011-12,25
2012-01,28
2012-02,26
2012-03,24
2012-04,23
2012-05,25
2012-06,25
2012-07,24
2012-08,26
2012-09,27
2012-10,28
2012-11,26
2012-12,26
2013-01,27
2013-02,29
2013-03,28
2013-04,28
2013-05,25
2013-06,26
2013-07,26
2013-08,27
2013-09,26
2013-10,26
2013-11,28
2013-12,28
2014-01,30
2014-02,32
2014-03,29
2014-04,27
2014-05,27
2014-06,27
2014-07,27
2014-08,29
2014-09,29
2014-10,28
2014-11,28
2014-12,29
2015-01,35
2015-02,33
2015-03,30
2015-04,28
2015-05,30
2015-06,30
2015-07,28
2015-08,27
2015-09,29
2015-10,29
2015-11,28
2015-12,29
2016-01,29
2016-02,31
2016-03,29
2016-04,29
2016-05,29
2016-06,29
2016-07,32
2016-08,31
2016-09,32
2016-10,37
2016-11,36
2016-12,34
2017-01,36
2017-02,35
2017-03,36
2017-04,38
2017-05,35
2017-06,36
2017-07,35
2017-08,41
2017-09,42
2017-10,42
2017-11,42
2017-12,55
2018-01,72
2018-02,55
2018-03,46
2018-04,43
2018-05,43
2018-06,41
2018-07,41
2018-08,44
2018-09,40
2018-10,40
2018-11,41
2018-12,39
2019-01,42
2019-02,43
2019-03,40
2019-04,41
2019-05,45
2019-06,47
2019-07,45
2019-08,43
2019-09,42
2019-10,42
2019-11,43
2019-12,43
2020-01,47
2020-02,45
2020-03,41
2020-04,41
2020-05,41
2020-06,41
2020-07,51
2020-08,46
2020-09,44
2020-10,47
2020-11,47
2020-12,43
2021-01,56
2021-02,68
2021-03,68
2021-04,88
2021-05,100
2021-06,64
2021-07,56
2021-08,66
2021-09,65
2021-10,71
2021-11,84
2021-12,76
2022-01,71
2022-02,66
2022-03,65
2022-04,62
2022-05,67
2022-06,58
2022-07,54
2022-08,58
2022-09,57
2022-10,55
2022-11,55
2022-12,59
2023-01,66
2023-02,63
2023-03,61
2023-04,58
2023-05,62
2023-06,57
2023-07,53
2023-08,52
2023-09,50
2023-10,52
2023-11,52
2023-12,64
2024-01,62
2024-02,56
2024-03,70
