Mesec,Rudarstvo: (Ves svet)
2004-01,51
2004-02,56
2004-03,62
2004-04,56
2004-05,61
2004-06,52
2004-07,49
2004-08,51
2004-09,55
2004-10,62
2004-11,58
2004-12,45
2005-01,51
2005-02,57
2005-03,59
2005-04,58
2005-05,59
2005-06,55
2005-07,49
2005-08,53
2005-09,57
2005-10,58
2005-11,57
2005-12,45
2006-01,63
2006-02,58
2006-03,58
2006-04,58
2006-05,63
2006-06,52
2006-07,49
2006-08,52
2006-09,51
2006-10,53
2006-11,55
2006-12,44
2007-01,52
2007-02,57
2007-03,55
2007-04,56
2007-05,59
2007-06,58
2007-07,59
2007-08,72
2007-09,57
2007-10,60
2007-11,57
2007-12,49
2008-01,53
2008-02,56
2008-03,56
2008-04,61
2008-05,57
2008-06,57
2008-07,55
2008-08,53
2008-09,51
2008-10,55
2008-11,57
2008-12,55
2009-01,53
2009-02,56
2009-03,56
2009-04,53
2009-05,55
2009-06,51
2009-07,53
2009-08,54
2009-09,54
2009-10,53
2009-11,53
2009-12,45
2010-01,44
2010-02,49
2010-03,53
2010-04,59
2010-05,53
2010-06,52
2010-07,53
2010-08,56
2010-09,53
2010-10,86
2010-11,56
2010-12,50
2011-01,54
2011-02,51
2011-03,52
2011-04,50
2011-05,51
2011-06,50
2011-07,50
2011-08,55
2011-09,49
2011-10,50
2011-11,52
2011-12,43
2012-01,50
2012-02,51
2012-03,53
2012-04,51
2012-05,51
2012-06,48
2012-07,49
2012-08,50
2012-09,48
2012-10,48
2012-11,46
2012-12,38
2013-01,44
2013-02,45
2013-03,47
2013-04,50
2013-05,46
2013-06,43
2013-07,40
2013-08,41
2013-09,44
2013-10,47
2013-11,48
2013-12,47
2014-01,49
2014-02,51
2014-03,49
2014-04,42
2014-05,46
2014-06,41
2014-07,39
2014-08,40
2014-09,43
2014-10,41
2014-11,42
2014-12,34
2015-01,38
2015-02,40
2015-03,42
2015-04,41
2015-05,39
2015-06,36
2015-07,36
2015-08,35
2015-09,36
2015-10,38
2015-11,39
2015-12,32
2016-01,35
2016-02,38
2016-03,39
2016-04,39
2016-05,39
2016-06,38
2016-07,34
2016-08,37
2016-09,39
2016-10,37
2016-11,48
2016-12,45
2017-01,51
2017-02,54
2017-03,61
2017-04,59
2017-05,64
2017-06,69
2017-07,65
2017-08,67
2017-09,70
2017-10,75
2017-11,77
2017-12,96
2018-01,97
2018-02,78
2018-03,66
2018-04,56
2018-05,59
2018-06,53
2018-07,56
2018-08,54
2018-09,52
2018-10,52
2018-11,57
2018-12,56
2019-01,60
2019-02,56
2019-03,57
2019-04,59
2019-05,58
2019-06,63
2019-07,63
2019-08,62
2019-09,61
2019-10,57
2019-11,61
2019-12,49
2020-01,52
2020-02,62
2020-03,56
2020-04,60
2020-05,68
2020-06,60
2020-07,60
2020-08,64
2020-09,67
2020-10,59
2020-11,62
2020-12,60
2021-01,79
2021-02,99
2021-03,88
2021-04,86
2021-05,100
2021-06,78
2021-07,69
2021-08,75
2021-09,75
2021-10,77
2021-11,83
2021-12,85
2022-01,85
2022-02,77
2022-03,86
2022-04,83
2022-05,79
2022-06,76
2022-07,73
2022-08,80
2022-09,82
2022-10,70
2022-11,69
2022-12,64
2023-01,65
2023-02,71
2023-03,80
2023-04,78
2023-05,81
2023-06,74
2023-07,72
2023-08,72
2023-09,74
2023-10,72
2023-11,72
2023-12,68
2024-01,71
2024-02,75
2024-03,75
