id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67163,1320958400116,1,1411150684996,42947012366,68834,66605,-974.0823361085058,-1.42959,-18653227466.896973,-1.39244,19657806,21000000,21000000,73738,-8.87719,2024-03-14T07:10:36.635Z,67.81,98990.20577,2013-07-06T00:00:00.000Z,,2024-03-18T17:41:13.405Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3494.12,419916890188,2,419916890188,21849498411,3672.92,3472.82,-119.54903420998244,-3.30825,-14010291730.471863,-3.22872,120078892.260554,120078892.260554,,4878.26,-28.32729,2021-11-10T14:24:19.604Z,0.432979,807417.81062,2015-10-20T00:00:00.000Z,,2024-03-18T17:41:47.085Z,68.56333612616895,btc,6856.333612616894
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,103502267455,3,103502267455,74983289770,1.004,0.992068,0.00167479,0.16762,34883708,0.03371,103415164358.386,103415164358.386,,1.32,-24.356,2018-07-24T00:00:00.000Z,0.572521,74.8132,2015-03-02T00:00:00.000Z,,2024-03-18T17:40:22.802Z,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,197.6,87985556175,4,113408470387,13503906325,208.6,194.37,3.23,1.66207,1793990661,2.0814,443887683.448409,572146445.306759,,259.96,-23.61837,2021-11-06T21:54:35.825Z,0.500801,39548.69009,2020-05-11T19:35:23.449Z,,2024-03-18T17:41:22.646Z,,,
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,544,83759913766,5,83759913766,5421448081,585.44,541.37,-39.01457986109153,-6.69191,-5953779929.81366,-6.63642,153856150,153856150,200000000,686.31,-20.67626,2021-05-10T07:24:17.097Z,0.0398177,1367141.46616,2017-10-19T00:00:00.000Z,,2024-03-18T17:41:37.011Z,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3484.13,34134622881,6,34134822242,69163269,3671.02,3466.88,-128.95636299271973,-3.56914,-1204780675.336506,-3.40917,9779896.35546285,9779953.47410074,,4829.57,-27.59454,2021-11-10T14:40:47.256Z,482.9,624.14586,2020-12-22T04:08:21.854Z,,2024-03-18T17:41:38.781Z,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.601231,33015159943,7,60239083507,1820679802,0.627311,0.597502,-0.02022010030528565,-3.25369,-1062727239.7332573,-3.11852,54800189217,99987798943,100000000000,3.4,-82.27238,2018-01-07T00:00:00.000Z,0.00268621,22328.07118,2014-05-22T00:00:00.000Z,,2024-03-18T17:41:29.319Z,,,
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.002,30937791710,8,30984578443,11438726592,1.006,0.989963,0.00079741,0.07968,16056861,0.05193,30874516471.1815,30921207514.3154,,1.17,-14.59884,2019-05-08T00:40:28.300Z,0.877647,14.11252,2023-03-11T08:02:13.981Z,,2024-03-18T17:41:02.913Z,,,
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,62.73,23687215550,9,27371687310,3104036673,64.9,55.53,7.03,12.62349,2691515608,12.81937,377311659.225191,436001299.225191,720000000,144.96,-56.58937,2021-11-21T14:18:56.538Z,2.8,2146.59536,2020-12-31T13:15:21.540Z,,2024-03-18T17:41:28.747Z,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.650584,22966856163,10,29322258668,777821611,0.694149,0.646391,-0.029470566842167974,-4.33356,-1010507084.8540001,-4.21442,35246552423.2316,45000000000,45000000000,3.09,-78.89133,2021-09-02T06:00:10.474Z,0.01925275,3284.48197,2020-03-13T02:22:55.044Z,,2024-03-18T17:41:39.869Z,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.141548,20335336398,11,20335755808,2012780737,0.156475,0.140266,-0.011749189596109932,-7.66434,-1454812791.5343475,-6.67647,143517386383.705,143520346383.705,,0.731578,-80.63683,2021-05-08T05:08:23.458Z,0.0000869,162904.10233,2015-05-06T00:00:00.000Z,,2024-03-18T17:41:34.708Z,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.00002675,15771404295,12,26764047536,1932977972,0.00002992,0.00002647,-0.000002552322813704,-8.71085,-1371185261.9686031,-7.99871,589265362659385.2,999982365709438,,0.00008616,-68.99558,2021-10-28T03:54:55.568Z,5.6366e-11,47391682.98345,2020-11-28T11:26:25.838Z,,2024-03-18T17:41:29.027Z,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,9.73,13071824121,13,13859813997,487255442,10.39,9.66,-0.3487665602935621,-3.46144,-437982186.45716476,-3.24196,1342675406.75377,1423613967.2036,,54.98,-82.31065,2021-11-04T14:10:09.301Z,2.7,260.55332,2020-08-20T05:48:11.359Z,,2024-03-18T17:41:23.891Z,,,
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,3.72,12894162676,14,18972525840,151797747,4.03,3.67,-0.3133513269808885,-7.77497,-1139527302.6303616,-8.11994,3469055794.83935,5104383461.07242,,5.29,-30.06771,2021-11-12T06:50:02.476Z,0.519364,612.40514,2021-09-21T00:33:11.092Z,,2024-03-18T17:41:36.017Z,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.123491,10852954851,15,10853005362,464709209,0.126873,0.123059,-0.002082292724921456,-1.65823,-202683217.72023773,-1.8333,87832071058.0667,87832479838.7052,,0.231673,-46.66407,2018-01-05T00:00:00.000Z,0.00180434,6748.19475,2017-11-12T00:00:00.000Z,,2024-03-18T17:41:45.398Z,63.995031835729634,usd,6399.503183572963
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,18.36,10789672097,16,18377912834,786073529,19.47,18.22,-0.20128019684323917,-1.08448,-103987185.9423809,-0.95457,587099971.3083414,1000000000,1000000000,52.7,-65.12491,2021-05-10T00:13:57.214Z,0.148183,12302.20664,2017-11-29T00:00:00.000Z,,2024-03-18T17:41:43.769Z,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,66799,10384520027,17,10384520027,270258387,69075,66392,-1234.2801560002263,-1.81424,-184092817.13420105,-1.74188,155434.89201022,155434.89201022,155434.89201022,73505,-9.12435,2024-03-14T07:10:23.403Z,3139.17,2027.90411,2019-04-02T00:00:00.000Z,,2024-03-18T17:41:49.190Z,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,1.022,9500775342,18,10234658085,547130408,1.098,1.016,-0.05705673179261339,-5.28997,-540234728.010725,-5.38028,9282943566.203985,10000000000,10000000000,2.92,-64.90886,2021-12-27T02:08:34.307Z,0.00314376,32451.78493,2019-05-10T00:00:00.000Z,,2024-03-18T17:41:19.717Z,387.41340584031786,usd,38741.34058403179
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,11.74,8856109342,19,11749138997,207791168,12.66,11.6,-0.8046404923731316,-6.41346,-593857187.620594,-6.28423,753766667,1000000000,1000000000,44.92,-73.9993,2021-05-03T05:25:04.822Z,1.03,1033.69616,2020-09-17T01:20:38.214Z,,2024-03-18T17:41:44.850Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,389.32,7672916678,20,8190921829,371846931,409.74,385.79,-14.444004443911012,-3.57737,-272211618.20094013,-3.42615,19671931.1466508,21000000,21000000,3785.82,-89.69857,2017-12-20T00:00:00.000Z,76.93,406.91434,2018-12-16T00:00:00.000Z,,2024-03-18T17:41:11.673Z,,,
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,6.99,7270185968,21,8268421301,1169866796,8.5,7,-1.1628598472982707,-14.26744,-1193624154.2548637,-14.10268,1039156880.1147,1181838665.46793,,20.44,-65.46417,2022-01-16T22:09:45.873Z,0.526762,1239.97306,2020-11-04T16:09:15.137Z,,2024-03-18T17:41:10.788Z,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,82.03,6102243779,22,6896605866,492227944,86.64,81.16,-4.10125720524637,-4.76186,-314347703.7747202,-4.89898,74324745.7334713,84000000,84000000,410.26,-79.99218,2021-05-10T03:13:07.904Z,1.15,7044.93689,2015-01-14T00:00:00.000Z,,2024-03-18T17:41:47.176Z,,,
