type,url,redirected,status,ok,statusText,body.locked,bodyUsed
basic,https://api.coingecko.com/api/v3/coins/bitcoin,false,200,true,OK,false,false
basic,https://api.coingecko.com/api/v3/coins/ethereum,false,200,true,OK,false,false
basic,https://api.coingecko.com/api/v3/coins/tether,false,200,true,OK,false,false
basic,https://api.coingecko.com/api/v3/coins/solana,false,200,true,OK,false,false
basic,https://api.coingecko.com/api/v3/coins/binancecoin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/staked-ether,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/ripple,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/usd-coin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/avalanche-2,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/cardano,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/dogecoin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/shiba-inu,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/polkadot,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/the-open-network,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/tron,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/chainlink,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/wrapped-bitcoin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/matic-network,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/uniswap,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/bitcoin-cash,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/near,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/litecoin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/aptos,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/leo-token,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/internet-computer,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/dai,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/filecoin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/cosmos,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/ethereum-classic,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/render-token,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/arbitrum,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/bittensor,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/immutable-x,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/okb,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/blockstack,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/the-graph,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/hedera-hashgraph,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/stellar,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/crypto-com-chain,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/injective-protocol,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/optimism,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/kaspa,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/first-digital-usd,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/theta-token,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/vechain,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/pepe,false,429,false,Too Many Requests,false,false
