id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,67412,1320696961054,1,1410871395421,44186598835,68834,66605,-853.1682716888463,-1.24979,-21789237207.81714,-1.62305,19657806,21000000,21000000,73738,-8.60311,2024-03-14T07:10:36.635Z,67.81,99288.25553,2013-07-06T00:00:00.000Z,,2024-03-18T18:02:45.243Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3509.13,419312243455,2,419312243455,19821911914,3672.92,3472.82,-130.04420905332836,-3.57345,-15945945884.53357,-3.66356,120078892.260554,120078892.260554,,4878.26,-28.10194,2021-11-10T14:24:19.604Z,0.432979,809956.74809,2015-10-20T00:00:00.000Z,,2024-03-18T18:02:33.884Z,68.60780450488558,btc,6860.780450488558
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,103478257441,3,103478257441,89014544477,1.004,0.992068,0.00160044,0.1601,32569094,0.03148,103415164358.386,103415164358.386,,1.32,-24.24207,2018-07-24T00:00:00.000Z,0.572521,75.07648,2015-03-02T00:00:00.000Z,,2024-03-18T18:00:28.854Z,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1696504756,197.86,87422599656,4,112682769961,13066323865,208.6,195.01,2.8,1.43747,1011146873,1.17015,443887683.448409,572146034.540669,,259.96,-23.88811,2021-11-06T21:54:35.825Z,0.500801,39408.6698,2020-05-11T19:35:23.449Z,,2024-03-18T18:02:38.307Z,,,
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,550.41,84048289747,5,84048289747,5510366416,584.24,541.37,-31.68228970967732,-5.44281,-5705160920.739441,-6.35648,153856150,153856150,200000000,686.31,-19.8424,2021-05-10T07:24:17.097Z,0.0398177,1381514.10081,2017-10-19T00:00:00.000Z,,2024-03-18T18:02:45.502Z,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3503.29,34066095027,6,34066293987,69673031,3671.02,3466.88,-124.71071166219144,-3.43745,-1383148366.994587,-3.90177,9779896.35546285,9779953.47410074,,4829.57,-27.95646,2021-11-10T14:40:47.256Z,482.9,620.52613,2020-12-22T04:08:21.854Z,,2024-03-18T18:02:18.633Z,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.602311,32950702089,7,60121474443,1827888929,0.627311,0.597502,-0.019018513262676673,-3.06094,-1162442793.2049065,-3.40761,54800189217,99987798943,100000000000,3.4,-82.27318,2018-01-07T00:00:00.000Z,0.00268621,22327.05267,2014-05-22T00:00:00.000Z,,2024-03-18T18:02:36.226Z,,,
usd-coin,usdc,USDC,https://assets.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,30881268904,8,30994544869,11147258336,1.006,0.989963,-0.000821320494921896,-0.08197,13989473,0.04532,30874516471.1815,30987767666.6934,,1.17,-14.6101,2019-05-08T00:40:28.300Z,0.877647,14.09747,2023-03-11T08:02:13.981Z,,2024-03-18T18:02:32.011Z,,,
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,62.65,23529423975,9,27189351753,3138222700,64.9,55.53,6.84,12.26043,2493310225,11.85252,377311659.225191,436001299.225191,720000000,144.96,-56.76071,2021-11-21T14:18:56.538Z,2.8,2137.72807,2020-12-31T13:15:21.540Z,,2024-03-18T18:02:40.255Z,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.652225,22915626130,10,29256852230,781158210,0.694149,0.646391,-0.029455489247412703,-4.32101,-1107909597.6654205,-4.61177,35246552423.2316,45000000000,45000000000,3.09,-78.86454,2021-09-02T06:00:10.474Z,0.01925275,3288.77836,2020-03-13T02:22:55.044Z,,2024-03-18T18:02:40.246Z,,,
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.142097,20336555626,11,20337057248,1924552132,0.156413,0.140266,-0.01332475766247804,-8.57327,-1968537229.0527077,-8.82551,143517386383.705,143520926383.705,,0.731578,-80.57287,2021-05-08T05:08:23.458Z,0.0000869,163442.58437,2015-05-06T00:00:00.000Z,,2024-03-18T18:02:45.625Z,,,
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.00002676,15746692605,12,26722111838,1899612661,0.00002992,0.00002647,-0.00000280037211755,-9.47491,-1705529362.524063,-9.77256,589265362659385.2,999982365709438,,0.00008616,-68.94654,2021-10-28T03:54:55.568Z,5.6366e-11,47466636.04777,2020-11-28T11:26:25.838Z,,2024-03-18T18:02:12.430Z,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,9.78,13068449399,13,13856338744,487518343,10.39,9.66,-0.3416845534485837,-3.37431,-479955352.1624813,-3.54252,1342675406.75377,1423624539.60952,,54.98,-82.20344,2021-11-04T14:10:09.301Z,2.7,262.7385,2020-08-20T05:48:11.359Z,,2024-03-18T18:02:39.419Z,,,
the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,3.77,12922142810,14,19013701494,153169519,4.03,3.67,-0.15254416455292086,-3.88973,-876654243.1881561,-6.35312,3469055794.83935,5104384955.49679,,5.29,-30.02304,2021-11-12T06:50:02.476Z,0.519364,612.86019,2021-09-21T00:33:11.092Z,,2024-03-18T18:02:41.402Z,,,
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.123478,10845061091,15,10845049609,466494033,0.126873,0.123059,-0.002170373353111918,-1.72734,-195141216.3718872,-1.76755,87832071058.0667,87831978067.2517,,0.231673,-46.67381,2018-01-05T00:00:00.000Z,0.00180434,6746.94299,2017-11-12T00:00:00.000Z,,2024-03-18T18:02:30.468Z,63.98850611175321,usd,6398.850611175321
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,18.38,10774842866,16,18352654391,790318278,19.47,18.22,-0.2052043504065857,-1.10437,-143414287.77854156,-1.31353,587099971.3083414,1000000000,1000000000,52.7,-65.09758,2021-05-10T00:13:57.214Z,0.148183,12311.92712,2017-11-29T00:00:00.000Z,,2024-03-18T18:02:34.946Z,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,66868,10393958593,17,10393958593,277297333,69075,66392,-1573.6457312631828,-2.29926,-189908547.15234566,-1.79432,155434.89201022,155434.89201022,155434.89201022,73505,-9.03016,2024-03-14T07:10:23.403Z,3139.17,2030.10971,2019-04-02T00:00:00.000Z,,2024-03-18T18:01:44.170Z,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,1.026,9480312927,18,10212615061,551020553,1.098,1.016,-0.05409098223575137,-5.0088,-538867559.7658787,-5.37836,9282943566.203985,10000000000,10000000000,2.92,-64.83488,2021-12-27T02:08:34.307Z,0.00314376,32520.4107,2019-05-10T00:00:00.000Z,,2024-03-18T18:02:02.520Z,389.0490795949821,usd,38904.90795949821
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,11.78,8847287309,19,11737435066,208145191,12.66,11.6,-0.8189449185357685,-6.50253,-628161346.5189838,-6.62936,753766667,1000000000,1000000000,44.92,-73.8943,2021-05-03T05:25:04.822Z,1.03,1038.27446,2020-09-17T01:20:38.214Z,,2024-03-18T18:01:47.847Z,,,
